"","question"
"9965","아침에 일어나서 면접장에 오기까지의 과정을 영어로 말해보라"
"9966","한샘 매장에 가본 소감을 말해보라"
"9967","다시 지원한 이유는 무엇이며"
"9968","대학등록금을 본인이 마련해야하는데 장학금을 받을것인가? 아르바이트를 할것인가?"
"9969","불만고객에 대해 대응하는 자세는?"
"9970","지난번 떨어진 이유가 무엇이라고 생각하는가?"
"9971","채용설명회에 참석해 봤는가?"
"9972","SC직무에 대해 알고 있는가?"
"9973","자기소개를 해보세요."
"9974","삼양사에 왜 지원했나요?"
"9975","해당 실험을 본인이 다 했나요?"
"9976","다른 업무로 바빠서 커피 심부름을 부탁하는 경우, 꼰대라고 생각하나요?"
"9977","삼양사 제품 중 먹어본 것이 있는지?"
"9978","삼양사 제품의 미래 전략은 어떻게 해야할까?"
"9979","입사 후 포부가 있는지?"
"9980","삼양사에서 생산되는 제품에 대해 설명해보세요."
"9981","열역학 0법칙에 대해 설명해보세요. 그리고 예를 들어보세요."
"9982","열전달 방법에 대해 설명해보세요."
"9983","자신의 장단점을 말해보세요."
"9984","회사란 무엇인가?"
"9985","향후 증시가 어떻게 될 것으로 예상됩니까?"
"9986","어떤 업무를 하고 싶습니까?"
"9987","증권권장 시스템에 대해 이야기 해보세요."
"9988","가장 힘들었던 일은 무엇입니까?"
"9989","입사하면 가장 하고 싶은 것은?"
"9990","어른들을 상대한 경험이 있나요?"
"9991","유튜브 같은 것을 할 생각은 없나요?"
"9992","식단을 짜는데 가장 중요한 한가지?"
"9993","영양사로서 중요한 자질 세가지는?"
"9994","검수하는 방법에 대해 말해보세요."
"9995","양식의 5대 모체소스를 말해보시오."
"9996","보존식에 대하여 설명해 보시오"
"9997","식중독에 대하여 설명해 보시오"
"9998","소 부위별 용도를 말해 보시오"
"9999","양식의 5대 모체소스를 말해보시오."
"10000","보존식에 대하여 설명해 보시오"
"10001","식중독에 대하여 설명해 보시오"
"10002","소 부위별 용도를 말해 보시오"
"10003","1분 동안 자기소개해보세요."
"10004","마지막으로 할 말이 있으면 해보세요."
"10005","면접 예상 질문을 옆 지원자에게 질문해보세요."
"10006","보존식 관리는 어떻게 해야 하는지 말해보세요."
"10007","지원자의 단점은 무엇입니까?"
"10008","직무와 관련한 경험이 있습니까? 구체적인 활동 내용과 해당 경험을 한 이유를 말해보세요."
"10009","직원들과 트러블이 생겼을 때 어떻게 그 상황을 풀어 나갈 것인가요?"
"10010","해썹에 대해서 아는 대로 말해보세요."
"10011","현장과 이론은 다른데, 실무 경험이 적으니 이를 어떻게 보완할 건가요?"
"10012","1분 동안 자기소개해보세요."
"10013","어떻게 일 할 것인지 말해보세요."
"10014","영업 직군에 대한 업무 의지를 보여주세요."
"10015","다른업장과 삼성웰스토리만의 차별점을 느낀적이 있다면 무엇인가요?"
"10016","한식과 양식의 차이는 무엇인가?"
"10017","보존식의 방법에 대해 설명해보세요"
"10018","비빔밥에 넣는 고추장을 만들 때 더 맛있게 만드는 법에는 무엇들이 있을까요?"
"10019","다룰 수 있는 프로그램으로는 무엇이 있는가?"
"10020","스위치, 라우터, 허브에 대해 설명해보시오."
"10021","고무의 탄성이 왜 있는가?"
"10022","벤치마케팅과 리엔지니어링의 차이점은 무엇인가?"
"10023","지원동기를 말해주세요."
"10024","영어로 자기소개해주세요."
"10025","대학시절 가장 좋아하던 과목은?"
"10026","타사와의 타이어 차이점은?"
"10027","타이어에서 가장 중요한 점은 무엇인가요?"
"10028","가황이 뭔지 설명해주세요."
"10029","성격의 장단점은?"
"10030","성장과정에 대해 말씀해주세요."
"10031","국가과학인재개발원을 알게된 계기와 어떤점으로 지원하게 되었는지 말해보세요."
"10032","우리 국가과학 기술인재개발원이 뭐하는 기관인지 알고 있나요?"
"10033","왜 그 직무를 지원했는지 특별한 이유가 있나요?"
"10034","조직에서 중요한 덕목"
"10035","지하철에서 다툰 사람이 여기에 면접관으로 있다면 당신의 반응은?"
"10036","회사에 들어오기 위한 노력"
"10037","들어와서 무슨 일을 하고 싶은가?"
"10038","석유공사가 울산으로 이전하는데 어떻게 할 것인가?"
"10039","영어점수가 낮은 이유는 무엇인가?"
"10040","전문가 정신과 배려와 공헌 그리고 도전 4문항을 가지고 경험 두 가지를 작성하세요"
"10041","해외경험이 있는가?"
"10042","가장 친한 친구에게 상품설명이 가능하겠는가?"
"10043","대학시절 기억에 남는 활동이 있다면 무엇인가?"
"10044","좌우명이나 생활신조가 있는가?"
"10045","본인 이름의 뜻을 얘기해 보시오............................ㅡ_ㅡ"
"10046","자기소개를 해보세요"
"10047","야근이 잦아도 괜찮은가"
"10048","3분동안 자기소개를 하세요"
"10049","본인이 운영일 맡고있는 담당자 일때 무엇을 가장 중요하게 생각하는가?"
"10050","어떠한 언어를 사용했는가?"
"10051","저축은행 피해고객에 대한 특별법 개정에 대해 찬반토론하세요"
"10052","it 직군에 자신이 적합하다고 생각하는가?"
"10053","it기획과 ERP 또는 개발 중 어떤것이 본인에게 어울린다고 생각하는가?"
"10054","it전문기업이 아닌 금융계의 it직군은 지원한 이유는?"
"10055","와이어링 설계에서 무엇이 중요하다고 생각하나?"
"10056","자기소개와 함께 지원동기를 말씀해보시오."
"10057","학교에서 무엇을 배웠는가?"
"10058","학교에서 무엇을 하였는가?"
"10059","개발점은?"
"10060","마지막으로 할 말이 있는가?"
"10061","왜 유라코퍼레이션를 선택한 것인가?"
"10062","유라코퍼레이션의 제품을 설명해보시오."
"10063","자기소개해보시오."
"10064","마지막으로 할 말이 있는가?"
"10065","생산기술이 어떤 직무라고 생각하는가?"
"10066","어떻게 회사에 기여할 것인지 말해보시오."
"10067","여자친구가 있는가?"
"10068","영어로 자기소개해보시오."
"10069","유라코퍼레이션이 어떤 회사인지 아는가?"
"10070","인생에서 가장 힘들었던 경험은 무엇인가?"
"10071","자기소개해보시오."
"10072","자신의 성격은 어떠한지 말해보시오."
"10073","자차가 있는가?"
"10074","지원자의 영어 실력은 어느 정도인가?"
"10075","4차 산업 혁명이 무엇인지와 4차 산업 혁명의 방향에 대해 설명해보시오."
"10076","개인적인 일정이 있는데, 주말에 업무가 발생할 시 어떻게 대처하겠는가?"
"10077","고등학교 어디 나왔는가?"
"10078","공백기에 무엇을 하였는가?"
"10079","다른 자동차 부품회사 인턴 경력이 있는데, 어떤 직무로 일했는가?"
"10080","다른 자동차 부품회사 인턴 경력이 있는데, 인턴했던 회사의 주력상품이나 매출액에 대해 말해보시오."
"10081","살면서 힘들었던 일은 무엇인가?"
"10082","상사와의 갈등 시 어떻게 해결할 것인가?"
"10083","야근은 몇 시까지 할 수 있나?"
"10084","어느 정도로 일을 시키면 퇴사할 것인가?"
"10085","어떻게 유라코퍼레이션을 알게 되었는가?"
"10086","여자친구 있는가?"
"10087","영어로 자기소개해보시오."
"10088","영어실력이 어떻게 되는가?"
"10089","원치 않는 일이 지원자에게 주어질 경우 어떻게 하겠는가?"
"10090","유라코퍼레이션에 대해 알고 있는가?"
"10091","자기소개해보시오."
"10092","전공을 선택한 이유가 무엇인가?"
"10093","주말 근무에 대해 어떻게 생각하는가?"
"10094","지금 당장 영어로 회의한다면 가능한가?"
"10095","지방살아서 출퇴근 거리가 먼데, 괜찮은가?"
"10096","지원자의 작문, 리스닝, 스피킹 실력은 어떠한가?"
"10097","지원자의 전공능력이 10점 만점일 때 몇 점인지 스스로 평가해봐라."
"10098","최순실 사건에 대해서 어떻게 생각하는가?"
"10099","취미가 무엇인가?"
"10100","취업 준비 전에 유라코퍼레이션에 대해 알고 있었는가?"
"10101","회사에 다니면서 지원자에게 가장 문제가 되는 것이 있다면 무엇인지 말해보시오."
"10102","생산기술 직무가 뭐하는 곳인지 알고 있는가?"
"10103","지원자가 회사 생활하면서 중요하게 생각하는 것은 무엇인가?"
"10104","마지막으로 하고 싶은 말이 있는가?"
"10105","왜 우리가 당신을 뽑아야 하는지 지원분야 외국어로 설명하시오."
"10106","유라코퍼레이션의 인재상에 자신이 적합한 이유를 말해보시오"
"10107","유라코퍼레이션의 주력 상품 및 경향에 대해 말해보시오."
"10108","자기소개해보시오."
"10109","지원분야 외국어로 자기소개해보시오."
"10110","해외에 예상 기간보다 오래 머물러야 할 수도 있는데, 그런 상황이 생기면 어떻게 할 것인가?"
"10111","와이어링 하네스 본 적 있는지?"
"10112","학부 시절에 수행했던 프로젝트 경험을 설명해보세요"
"10113","catia 사용 가능한가?"
"10114","감가상각에 대해 설명해 보세요."
"10115","단점 두 가지를 말해보세요."
"10116","상사가 시킨 일이 업무상 부당하다 느낄 때 본인의 행동은?"
"10117","유라코퍼레이션에 대해 아는 바에 대해 말해보시오."
"10118","자기소개"
"10119","지원하지 않은 직무에 배치될 경우 어떻게 할 것인가?"
"10120","회사에 지원할 때 어떤 면을 보는지?"
"10121","참여 프로젝트가 어떻게 되는가?"
"10122","대학시절 가장 좋아했던 과목은?"
"10123","면접보기전의 시험성적이 얼만큼 될 것 같은지?"
"10124","어떤 회계과목을 수강했는지?"
"10125","일이 바쁜데 야근에 대해 어떻게 생각하는지"
"10126","4M이 무엇입니까?"
"10127","상사가 업무 외에 다른 일을 시킨다면?"
"10128","야근에 대해 어떻게 생각하는가?"
"10129","영어로 자기소개 해보세요"
"10130","우리회사 공장이 있는 곳이 어딘가?"
"10131","우리회사의 생산기술이 무엇인가?"
"10132","유라코퍼레이션에 대해서 알고 있는 내용을 1분내에 말하세요."
"10133","유라코퍼레이션을 어떻게 알고 지원했는지?"
"10134","일이 바쁜데 야근에 대해 어떻게 생각하는지"
"10135","자신을 돈으로 환산한다면?"
"10136","지원동기"
"10137","집이 지방인데 판교에서 근무 할 수 있나요?"
"10138","최근 본 뉴스 기사는 무엇인가?"
"10139","카티아는 얼마나 다루나요?"
"10140","타 지역 근무가능한지?"
"10141","프로젝트 진행했을 때 가장 기억에 남는 것은?"
"10142","학창시절 프로젝트는 무엇인가?"
"10143","해외파견근무가 가능한가?"
"10144","회사 연봉은 어느 정도로 생각하는지?"
"10145","회사에서 무슨 제품 만드는지는 아는가?"
"10146","휴학 및 졸업 후 무엇을 했나요?"
"10147","갑을 관계에 대해서 말해보세요."
"10148","신입사원이 갖추어야 할 것들 중 제일 중요한 것은?"
"10149","자신이 생각하는 행복이란?"
"10150","직무에 관해 얼마나 알고 있습니까?"
"10151","영어 외 외국어 할 줄 아는 거 있나요?"
"10152","인재상 중에 자신과 가장 적합하다고 생각되는 부분을 설명해 보세요."
"10153","졸업예정자이신 분은 학점 이수 등 완벽하게 처리 하셨는지?"
"10154","지원자는 물류관리사 자격증 있는데, 연구보다는 생산 쪽이 적합하지 않은지?"
"10155","해외 어학연수 경험은?"
"10156","동아리 활동을 하면서 힘들었던 점을 말해보세요."
"10157","인생의 터닝포인트에 대한 내용을 말해보세요."
"10158","학부시절 가장 좋아했던 과목이 무엇이고 그것에 맞추어서 자기소개를 하시오."
"10159","야근이 많은데 괜찮은가요?"
"10160","해외근무에 대해 어떻게 생각하나요?"
"10161","본인의 경험(회사 인턴경험)을 영어로 표현해보십시요"
"10162","손익계산서에서 당기 순이익이 나오는 과정을 설명해 보세요."
"10163","우리회사 감사보고서를 읽어봤을 텐데 어떤 부분이 제일 인상 깊었나요?"
"10164","경제학과인데 왜 회계를 선택했나요?"
"10165","개인적으로 특이한 이력이 있다면 무엇인가요? (예 : 군면제, 석사 학위, 나이 등 지원자 개개인의 특이한 사항)"
"10166","인생에서 가장 몰입했었던 일이 있다면 말씀해주세요."
"10167","회사의 일이 힘들다면 포기하지 않을 수 있나요? 본인의 스트레스 해소법과 함께 이야기 해주세요."
"10168","원하는 직무와 그 이유에 대해 말해보시오."
"10169","최근에 재밌게 본 영화와 느낀 점을 말해보시오."
"10170","학교에 다니면서 집중했던 활동과 그것이 어떤 도움이 되었는지 말해보시오."
"10171","기계공학 전공자로서 회사의 성과에 기여할 수 있는 부분은 무엇인가?"
"10172","다른 전장 부품회사가 아닌 현대케피코를 선택한 이유가 무엇인가?"
"10173","마지막으로 하고 싶은 말을 해보세요"
"10174","야근이 많은데 괜찮은가?"
"10175","우리 회사 말고 지원한 곳은 어디인가?"
"10176","이직 사유를 말해보세요"
"10177","중복 합격하면 어떻게 할 것인가?"
"10178","지원동기는 무엇인가?"
"10179","체적률을 아는가?"
"10180","학교생활은 어떠했는가?"
"10181","CVVT에 대해 설명해보세요"
"10182","GDI엔진에 대해 설명해보세요"
"10183","임상 직무에 본인의 학부 전공은 매치되지 않는 것 같은데?"
"10184","대상자 동의서에 들어가야하는 내용이 무엇인가요?"
"10185","본인의 단점이 무엇인지 영어로 답변해주세요."
"10186","전공이 다른데 왜 우리회사에 지원했나요? (후속질문 : 그런 제약회사가 저희 셀트리온 밖에 없나요?)"
"10187","나이어린 선임과 잘 지낼 수 있나요?"
"10188","다니던 대학을 중퇴하고 다시 전공을 정한 이유는 무엇인가요?"
"10189","업무에 있어서 제일 중요한것은?"
"10190","배양을 해본적 있나요?"
"10191","교대근무 야간근무 잘 할 수 있나요?"
"10192","마지막 할 말 있으면 해보세요."
"10193","해온 연구에 대해서 말해보시오"
"10194","실험 과정 중에 어려움을 극복한 사례가 있나요?"
"10195","마지막으로 하고 싶은말은?"
"10196","자기소개서에 작성한 ELISA 원리에 대해 설명하실 수 있나요?"
"10197","(다른 지원자분께) 공백기간동안 무엇을 하셨나요?"
"10198","마지막 할 말이나 질문이 있으신가요?"
"10199","본인이 가장 힘들었던 경험을 말해보시요."
"10200","마지막으로 하고픈 말은?"
"10201","본인의 전공학과에 대해서 설명해보십시요."
"10202","GMP와 cGMP의 차이점을 말해보세요."
"10203","성적이 좋지만 상대적으로 1학년 1학기 때에 성적이 낮았던 이유가 뭔가요?"
"10204","환경모니터링과 관련한 실험은 어떤 것을 해봤나요?"
"10205","셀트리온제약에 대해 아는 것이 어떠한 것이 있는지?"
"10206","셀트리온제약의 주력제품에 대해 설명해 보세요"
"10207","생산관리 엔지니어로서 직무를 수행하다보면 힘든 일이 많을텐데 잘 견딜 수 있는지?"
"10208","초능력을 마음대로 선택해서 가질 수 있다면 어떤 종류의 초능력을 가지고 싶은가?"
"10209","회계법인에서 경력을 더 쌓고 싶은 생각은 없는가?"
"10210","세무 업무와 본인이 잘 맞는다고 생각하는가?"
"10211","셀트리온에 대해 아는 대로 말씀해 주십시오."
"10212","셀트리온이 생산하고 있는 품목은 무엇입니까?"
"10213","백만 달러가 생긴다면 무엇을 할 것인지 영어로 말해보세요."
"10214","본인이 생각하는 좋은 리더는 무엇인가요?"
"10215","부당한 지시를 받으면 어떻게 할 건가요?"
"10216","셀트리온의 첫번째 바이오시밀러에 관해 설명하고 부작용이 생기는 기작에 관하여 설명해보세요."
"10217","슈퍼 히어로가 된다면 무슨 능력을 갖고싶은지 영어로 말해보세요."
"10218","약대 지식을 이용하여 약물 감시를 할 때 가장 중요한 것은 무엇인가요?"
"10219","연구실 경험이 많은데, 그 분야로 더 공부할 생각은 없나요?"
"10220","외국에서 오래 살았는데, 한국 문화에 적응할 수 있다고 생각하나요?"
"10221","램시마의 적용증에 대해 2가지씩 영어로 말해보시오."
"10222","본인의 장/단점은?"
"10223","상사가 부당한 업무 지시를 내린다면?"
"10224","스트레스는 어떻게 해소하나요?"
"10225","영어로 본인을 나타낼 수 있는 한 단어를 말해보시오."
"10226","사는 곳과 업무지와 멀어서 회사 업무에 지장이 있는 것이 아니십니까?"
"10227","채용정보는 어디서 보았습니까?"
"10228","이넨시오머의 특성은 무엇입니까?"
"10229","밤샘근무가 가능합니까?"
"10230","당신이 지원한 분야에서 할 수 있는것이 무엇입니까?"
"10231","당신이 지원한 분야에서 할 수 있는것이 무엇입니까?"
"10232","나를 한 단어로 설명해보시오"
"10233","본인을 한 단어로 설명해보시오"
"10234","일본의 젊은이들에게 동아시아 정세에 관해 일본이 취해야 할 자세는 무엇이 있습니까?"
"10235","일본의 젊은이들에게 동아시아 정세에 관해 일본이 취해야 할 자세를 설득해보세요"
"10236","(전공질문) 다뤄본 시험기기의 원리에 대해 설명하세요."
"10237","입사 후, 어느 품질관리 팀으로 가고싶은가? 그 이유는?"
"10238","공무원시험을 준비한 이유는 무엇인가?"
"10239","본인의 학교가 반값등록금 발표를 했는데 그에 대한 생각을 말해보세요"
"10240","자기소개해보세요"
"10241","전공이 특이한데 전공에 대해 말해보세요"
"10242","지원동기를 말해보세요"
"10243","HR쪽을 택한 이유는 무엇인가?"
"10244","단백질 1~4차 구조를 설명해보세요"
"10245","면역반응에 대해 설명해보세요"
"10246","식물세포와 동물세포의 차이점을 설명해보세요"
"10247","자기소개해보세요"
"10248","졸업한 학교에 대해 소개해보세요"
"10249","좋아하는 과목은 무엇인가?"
"10250","출신지역과 졸업한 학교들이 지역이 모두 다른데 다양한 곳에서 살아봤는데 어떠한 장점이 있는가?"
"10251","학점이 안 좋은 이유는 무엇인가?"
"10252","회사까지 어떻게 왔는지 설명해보세요"
"10253","HPLC의 원리는 무엇인가?"
"10254","PCR과 PT PCR의 차이점을 설명해보세요"
"10255","translation과 transcription 과정을 간단히 설명해보세요"
"10256","영어로 자기소개를 해보세요"
"10257","영어로 지구온난화에 대해 어떻게 생각하는지 말해보세요"
"10258","한미FTA를 하면 어느 나라가 이익을 볼 것 같은가?"
"10259","공백기가 있는데 그동안 무엇을 했나?"
"10260","궁금한 점이 있는가?"
"10261","이직 사유는?"
"10262","자신의 강점은 무엇인가?"
"10263","두산건설에 대해 아는대로 말해보세요."
"10264","살면서 어려웠던 점은 무엇이고 어떻케 극복 했나요?"
"10265","두산건설에서 이루고 싶은점은 무엇인가요?"
"10266","평소에 문제가 있다고 생각해서 개선하거나 해결한 경험이 있나요?"
"10267","준비하신 PT 발표 부탁드립니다."
"10268","다시 질문 드리겠습니다. 문제가 있다고 생각해서 개선하거나 해결한 경험이 있나요?"
"10269","본인이 창의적으로 아이디어를 낸 사례는?"
"10270","두산건설 지원동기에 대해 말해보아라."
"10271","본인의 장점은 무엇인가요?"
"10272","법을 어긴적이 있나요?"
"10273","주어진 장소에 오피스텔, 아파트, 주상복합단지 중 어떤 것을 지어야 할까요?"
"10274","팀으로 활동하면서 맡았던 역할은?"
"10275","그러한 목표를 설정하게 된 이유는 무엇인가?"
"10276","높은 목표의 수준이 어느 정도였나?"
"10277","다른 사람과 함께 이룬 경험이 있는가?"
"10278","다른 회사에 지원하였는가?"
"10279","도전적인 목표를 설정해서 노력한 적이 있는가?"
"10280","마지막으로 할 말이 있으면 말해보시오."
"10281","본인이 이룬 일 중에 가장 자랑스러운 일은 무엇인가?"
"10282","입사 후 포부를 말해보시오."
"10283","전역 후 공백 기간에 뭘 했는가?"
"10284","(PT 질문) 주어진 각각의 자료를 토대로 복합상가 거주형태 시설, 오피스텔, 아파트 중 가장 우선적으로 선택해야 하는 것은?"
"10285","더 하고싶은 말 있나?"
"10286","자기소개를 해달라"
"10287","도심지 공사시 유의해야 할 사항은 무엇인가?"
"10288","콘트리트를 칠 때 중요한 것은 무엇인가?"
"10289","탑다운 공법은 무엇인가?"
"10290","현장 근무에서 가장 중요한 것은 무엇인가?"
"10291","남을 위해 아이디어를 낸 적은 언제인가?"
"10292","역량 증대를 위해 시간을 들여 노력한 것은 무엇인가?"
"10293","자신이 겪은 일 중 창의적인 일은 무엇인가?"
"10294","토적곤선을 통해 구할 수 있는 것 3가지는 무엇인가?"
"10295","마지막으로 하고 싶은 말은 무엇인가?"
"10296","무슨일을 했으며, 왜 그만뒀는가?"
"10297","전공과 다른 분야로 간 이유가 뭔가요?"
"10298","회사가 본인을 채용해야 하는 이유는 무엇인가?"
"10299","지원하게 된 동기와 자신의 좌우명을 말해보세요!!!"
"10300","위기상황에서 새로운 접근으로 위기를 극복한 경험이 있습니까"
"10301","계획성있게 일을 했던 경험과 얻은 성과는 무엇인가?"
"10302","마지막으로 하고 싶은 말이 있다면 말해보세요"
"10303","목표했던 것을 성취했던 경험을 말해보세요"
"10304","창의적인 일을 했던 경험을 말해보라"
"10305","팀이 공동의 목표를 가지고 노력했던 경험이 있는가?"
"10306","현대엘리베이터를 지원한 동기를 말해보시오"
"10307","법무팀으로 지원했지만 구매팀에서 근무해보는 것은 어떠한가"
"10308","사법시험에 대한 미련은 없는가"
"10309","지방에서도 근무를 해야 하는데, 잘 하실 수 있으십니까?"
"10310","직무가 사무직인데, 설치관리라 현장에서 주로 업무를 많이 하실 텐데 잘 하실 수 있으십니까?"
"10311","꿈이 무엇인가?"
"10312","현재의 답변을 영어로 다시 말해보시오."
"10313","현 직군이 아닌 타 직군이나 타 지역으로 합격이 된다면 어떻게 하겠는가?"
"10314","이 직무가 힘든 일임을 부정할 수 없는데, 괜찮은가?"
"10315","현대엘리베이터에 입사하기 위해 어떠한 노력을 했는가?"
"10316","서울과 이천을 오가면서 근무할 수 있는가?"
"10317","이천에서 근무가 가능한가?"
"10318","어느 부서에 지원했으며, 지원한 동기가 무엇인가?"
"10319","1분 자기소개를 해보시오."
"10320","본사에서 근무할 수 있는가?"
"10321","0000이란 별명을 갖게 된 이유가 무엇인가요?"
"10322","본사지원으로 지원했는데 지점영업으로 올 생각은 없나요?"
"10323","살면서 가장 즐거웠던 추억은 무엇인가요?"
"10324","입사 후 영업으로 발령이 나도 괜찮나요?"
"10325","입사 후 하고 싶은 직무와 그에 대한 본인의 경쟁력을 말해보세요?"
"10326","한강에 몇리터의 물이 있을지 유추해서 대답해보세요"
"10327","가장 중요한 시사 이슈가 무엇이라고 생각합니까?"
"10328","직무에 있어서의 지원자의 강점은 무엇입니까?"
"10329","조직 내 갈등 해결 경험이 있나요? 있다면 말해보세요"
"10330","최근 읽은 책이 무엇인가요?"
"10331","지원한 직무에 관심을 가지게 된 이유는 무엇입니까? 해당분야를 희망하는 이유는?"
"10332","친구, 동아리 등의 모임에서 리드하는 편입니까? 아니면 따라주는 편입니까?"
"10333","관리자로서 중요하게 생각해야 하는 점 3가지를 키워드만 말하라."
"10334","기대하는 연봉은 얼마인가?"
"10335","나를 가장 잘 나타낸다고 생각하는 단어 5개를 꼽아라."
"10336","방문한 이랜드 매장이 있는가? 그 매장의 장점은 무엇인가?"
"10337","방문했던 이랜드 매장의 연매출이 얼마쯤이라고 예상하는가?"
"10338","존경하는 정치인은 누구이고 그 이유는 무엇인가?"
"10339","최근 이슈가 된 대형마트 영업규제에 대한 자신의 생각을 말하라."
"10340","최근에 읽은 신문기사와 자신의 생각을 말하라."
"10341","타 회사 지원 경력과 결과는 어떠했는가?"
"10342","NGO 단체 중 후원하고 싶은 단체와 후원 방법을 설명하라."
"10343","1층 매장의 가장 잘 팔리는 아이템은 무엇인가?"
"10344","반값 등록금의 찬반 여부와 이유는 무엇인가?"
"10345","방문한 매장의 1층 매장 개수는 몇 개인가?"
"10346","이랜드리테일 매장을 방문해봤는가?"
"10347","지방 근무가 가능한가?"
"10348","(영어질문)직장을 구할 때 가장 중요하게 생각하는 점은?"
"10349","이랜드 매장의 개장 시간과 종료 시간이 몇시라고 알고 있는가?"
"10350","이랜드와 다른 기업에 합격했을 때 이랜드에 입사할 확률은? 그리고 그 이유는?"
"10351","존경하는 대통령은?"
"10352","최근 방문한 이랜드 매장과, 해당 매장의 1층에서 가장 잘 팔릴 것이라고 생각하는 제품을 말하시오"
"10353","회사가 자신을 위해 무엇을 해주었으면 좋겠다고 생각하는가?"
"10354","지원자가 읽은 책들 중에서 주위사람들에게 추천하고 싶은 책의 제목과 저자를 말하고 왜 추천해 주고 싶은 지를 말해보세요."
"10355","살면서 위기를 극복한 사례를 말하시오."
"10356","왜 해당 전공을 선택하게 되었는지?"
"10357","화관법이 최근 이슈되고 있는데 언제부터 화관법이 도입되었고, 기업의 입장에서 이 제도의 문제점이 무엇인지?"
"10358","ESG 경영이 뭐라고 생각하는지?"
"10359","준비한 자기소개 혹은 회사에 물어보고 싶은 게 있다면?"
"10360","(토론면접) 노키즈존에 찬성하는가, 반대하는가?"
"10361","태광산업만의 경쟁력은 무엇인가요?"
"10362","환경 문제를 위해 자신이 하고 있는 것은?"
"10363","이 직무와 본인의 역량이 어떠한 관련이 있나요?"
"10364","화통법이 무엇인지 말해보세요."
"10365","1명빼고 울산에서 먼 지역에서 오셨는데, 적응을 어떻게 할 것인지 ?"
"10366","간단한 자기소개를 해보세요."
"10367","인생에 있어서 열심히 했던 경험을 말해보세요."
"10368","마지막 할말 있나요?"
"10369","자신의 경력과 구매직무와의 지원동기를 연결해서 대답해보세요"
"10370","본인의 체력에 대해 어떻게 생각합니까?"
"10371","구매직무 중에서도 하고 싶은 파트는?"
"10372","영업 직무를 선택하게 된 이유는 무엇인가?"
"10373","태광산업에 입사하여 협력사와 술을 마셔야 하는 상황이라면 어떻게 대처할 것인가?"
"10374","10년 후 자신의 모습을 말해보세요"
"10375","본인이 지원한 직무가 무엇을 하는지 아는가?"
"10376","영업에서 가장 중요한 것이 무엇인가요?"
"10377","언제가 가장 행복한 순간이었나요?"
"10378","일본 불매운동이 이슈인데 롯데에 관해 어떻게 생각하나요?"
"10379","퇴사사유?"
"10380","롯데푸드가 하는 사업에 대해서 알고있는지?"
"10381","마지막으로 하고싶은 말이나 못했던 말은?"
"10382","전 직장을 그만 두게된 이유, 그리고 우리 회사에 입사지원한 이유에 대해 말해보세요."
"10383","우리 회사 제품에 대해서 알고 있나요?"
"10384","연봉이 적은데 괜찮은가요? 집은 거리가 좀 있는데, 출퇴근 계획은 어떻게 되나요?"
"10385","롯데푸드의 기업이미지는 어떤가요?"
"10386","영업이 어떤일인지 알고 있나요?"
"10387","면접보러 오는 길에 생각한 것을 말해보세요"
"10388","식스시그마란?"
"10389","현재 출시된 제품 중 디자인 개선점이 있나요?"
"10390","롯데푸드에 지원하기 위해 어떤 노력을 했나요?"
"10391","원칙과 유용성 중에 중요한 것은? 그 사례는?"
"10392","지원한 직무가 무슨 일을 하는지 알고 있나요?"
"10393","시장조사 과정에서 중점적으로 파악해야 하는 요소는?"
"10394","이번이 몇번째 면접인가, 어떤 직무를 지원했었는가, 지원 결과는 나왔는가?"
"10395","1인 가구를 대상으로 A소스 파스타 제품을 출시하고자 한다. 자료를 어떻게 수집할 것인가?"
"10396","업무 특성상 선배들과 소통해야 하는 경우가 많고 협조를 요하는 경우가 많은데 협조가 안되면 어떻게 할 것인가?"
"10397","지원 직무는 생각하는 것과 다르게 ~~한 업무까지 수행해야 되기 때문에 적성과 안 맞을 수 있다. 괜찮겠는가?"
"10398","사조대림이란 어떤 회사인가?"
"10399","상사가 하기 힘든 일을 시켰을 때, 어떻게 대처할 것인가?"
"10400","영업을 어떻게 해야 잘 할 수 있는가?"
"10401","시간외 근무를 어떻게 생각 하십니까?"
"10402","직무에 대해 아는대로 설명해보세요."
"10403","콘크리트 물량에 대해서 계산을 했을 때와 실제 타설하면 왜 다른가요?"
"10404","이력서를 보니 열심히 살았는데 그이유는 무엇인가요?"
"10405","자기소개 간단하게 3문장으로 해보세요"
"10406","서브원의 문제점과 개선 방안을 말해보세요."
"10407","다양한 활동을 하셨는데, 서브원 업무에 제일 도움이 될 만한 활동 한 가지만 꼽아보세요"
"10408","건설 회계에 대해 아는것 있나요?"
"10409","OO건설 인턴 전환아닌가요?"
"10410","현장관리는 어떤 직무인것 같나요?"
"10411","자기소개"
"10412","서브원은 어떻게 알게되었는가"
"10413","서브원의 단점은 무엇이라 생각하는가"
"10414","인사팀에 지원한 이유가 무엇인가요?"
"10415","뽑혀야 하는 이유가 무엇인가요?"
"10416","우리 회사의 작년 매출 규모와 인원 수를 말해보세요."
"10417","서브원 시설관리에 입사 지원하신 이유는 무엇입니까?"
"10418","회사 생활에 제일 중요한 덕목은 무엇이라고 생각하십니까?"
"10419","인생의 최종목표는 무엇인가요?"
"10420","회사에 대해 아는 것을 말해보세요"
"10421","서브원의 연혁에 대해 말해보세요"
